      20:7f -- 1c 09|-- -- -- --|10 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      60:4f -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      60:-- -- -- --|-- -- -- --|-- -- bd 08|-- -- -- --|-- -- -- --|-- -- -- --|
      20:7f -- 67 09|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      12:-- -- 52 09|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       8:-- -- 3f 09|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      12:-- -- 2d 09|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       8:-- -- 1c 09|-- -- -- --|-- -- 1c 09|-- -- -- --|-- -- -- --|-- -- -- --|
      32:-- -- -- --|-- -- -- --|-- -- ef 08|-- -- -- --|-- -- -- --|-- -- -- --|
      28:-- -- -- --|-- -- -- --|-- -- bd 08|-- -- -- --|-- -- -- --|-- -- -- --|
      60:4f -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      60:-- -- -- --|-- -- -- --|-- -- a9 08|-- -- -- --|-- -- -- --|-- -- -- --|
      20:7f -- c9 08|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      12:-- -- bd 08|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       8:-- -- b3 08|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      12:-- -- a9 08|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       8:-- -- 9f 08|-- -- -- --|-- -- 1c 09|-- -- -- --|-- -- -- --|-- -- -- --|
      32:-- -- -- --|-- -- -- --|-- -- e1 08|-- -- -- --|-- -- -- --|-- -- -- --|
      28:-- -- -- --|-- -- -- --|-- -- bd 08|-- -- -- --|-- -- -- --|-- -- -- --|
      60:4f -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      60:-- -- -- --|-- -- -- --|-- -- 9f 08|-- -- -- --|-- -- -- --|-- -- -- --|
      20:7f -- d5 08|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      12:-- -- c9 08|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       8:-- -- bd 08|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      12:-- -- b3 08|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       8:-- -- a9 08|-- -- -- --|-- -- ab 09|-- -- -- --|-- -- -- --|-- -- -- --|
      32:-- -- -- --|-- -- -- --|-- -- 1c 09|-- -- -- --|-- -- -- --|-- -- -- --|
      28:-- -- -- --|-- -- -- --|-- -- ef 08|-- -- -- --|-- -- -- --|-- -- -- --|
      60:4f -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      60:-- -- -- --|-- -- -- --|-- -- c9 08|-- -- -- --|-- -- -- --|-- -- -- --|
      20:7f -- e1 08|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      12:-- -- d5 08|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       8:-- -- c9 08|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      12:-- -- bd 08|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       8:-- -- b3 08|-- -- -- --|-- -- 3f 09|-- -- -- --|-- -- -- --|-- -- -- --|
      32:-- -- -- --|-- -- -- --|-- -- 2d 09|-- -- -- --|-- -- -- --|-- -- -- --|
      28:-- -- -- --|-- -- -- --|-- -- fd 08|-- -- -- --|-- -- -- --|-- -- -- --|
      60:4f -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      60:-- -- -- --|-- -- -- --|-- -- d5 08|-- -- -- --|-- -- -- --|-- -- -- --|
      20:7f -- e1 08|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      12:-- -- d5 08|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       8:-- -- c9 08|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      12:-- -- bd 08|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       8:-- -- b3 08|-- -- -- --|-- -- df 09|-- -- -- --|-- -- -- --|-- -- -- --|
      32:-- -- -- --|-- -- -- --|-- -- 3f 09|-- -- -- --|-- -- -- --|-- -- -- --|
      28:-- -- -- --|-- -- -- --|-- -- 0c 09|-- -- -- --|-- -- -- --|-- -- -- --|
      60:4f -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      60:-- -- -- --|-- -- -- --|-- -- b3 08|-- -- -- --|-- -- -- --|-- -- -- --|
      20:7f -- ef 08|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      12:-- -- e1 08|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       8:-- -- d5 08|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      12:-- -- c9 08|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       8:-- -- bd 08|-- -- -- --|-- -- df 09|-- -- -- --|-- -- -- --|-- -- -- --|
      32:-- -- -- --|-- -- -- --|-- -- 3f 09|-- -- -- --|-- -- -- --|-- -- -- --|
      28:-- -- -- --|-- -- -- --|-- -- 0c 09|-- -- -- --|-- -- -- --|-- -- -- --|
      60:4f -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      60:-- -- -- --|-- -- -- --|-- -- bd 08|-- -- -- --|-- -- -- --|-- -- -- --|
      20:7f -- fd 08|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      12:-- -- ef 08|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       8:-- -- e1 08|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      12:-- -- d5 08|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       8:-- -- c9 08|-- -- -- --|-- -- fb 09|-- -- -- --|-- -- -- --|-- -- -- --|
      32:-- -- -- --|-- -- -- --|-- -- 52 09|-- -- -- --|-- -- -- --|-- -- -- --|
      28:-- -- -- --|-- -- -- --|-- -- 1c 09|-- -- -- --|-- -- -- --|-- -- -- --|
      60:4f -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      60:-- -- -- --|-- -- -- --|-- -- ef 08|-- -- -- --|-- -- -- --|-- -- -- --|
      20:7f -- ef 08|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      12:-- -- e1 08|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       8:-- -- d5 08|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      12:-- -- c9 08|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       8:-- -- bd 08|-- -- -- --|-- -- 7c 09|-- -- -- --|-- -- -- --|-- -- -- --|
      32:-- -- -- --|-- -- -- --|-- -- 2d 09|-- -- -- --|-- -- -- --|-- -- -- --|
      28:-- -- -- --|-- -- -- --|-- -- fd 08|-- -- -- --|-- -- -- --|-- -- -- --|
      60:4f -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      60:-- -- -- --|-- -- -- --|-- -- bd 08|-- -- -- --|-- -- -- --|-- -- -- --|
      20:-- -- b3 08|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      12:-- -- a9 08|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       8:-- -- 9f 08|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      12:-- -- 96 08|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       8:-- -- 8e 08|-- -- -- --|-- -- 77 08|-- -- -- --|-- -- -- --|-- -- -- --|
      40:-- -- bd 08|-- -- -- --|-- -- 8e 08|-- -- -- --|-- -- -- --|-- -- -- --|
      40:-- -- 8e 08|-- -- -- --|-- -- 77 08|-- -- -- --|-- -- -- --|-- -- -- --|
      40:-- -- 96 08|-- -- -- --|-- -- 7e 08|-- -- -- --|-- -- -- --|-- -- -- --|
      40:-- -- b3 08|-- -- -- --|-- -- 96 08|-- -- -- --|-- -- -- --|-- -- -- --|
      40:-- -- 96 08|-- -- -- --|-- -- 7e 08|-- -- -- --|-- -- -- --|-- -- -- --|
      40:-- -- 9f 08|-- -- -- --|-- -- 86 08|-- -- -- --|-- -- -- --|-- -- -- --|
      40:-- -- bd 08|-- -- -- --|-- -- 9f 08|-- -- -- --|-- -- -- --|-- -- -- --|
      40:-- -- 9f 08|-- -- -- --|-- -- 86 08|-- -- -- --|-- -- -- --|-- -- -- --|
      40:-- -- a9 08|-- -- -- --|-- -- 8e 08|-- -- -- --|-- -- -- --|-- -- -- --|
      40:-- -- c9 08|-- -- -- --|-- -- a9 08|-- -- -- --|-- -- -- --|-- -- -- --|
      40:-- -- a9 08|-- -- -- --|-- -- 8e 08|-- -- -- --|-- -- -- --|-- -- -- --|
      40:-- -- b3 08|-- -- -- --|-- -- 96 08|-- -- -- --|-- -- -- --|-- -- -- --|
      40:-- -- d5 08|-- -- -- --|-- -- 7e 08|-- -- -- --|-- -- -- --|-- -- -- --|
      40:-- -- fd 08|-- -- -- --|-- -- 96 08|-- -- -- --|-- -- -- --|-- -- -- --|
      40:-- -- 2d 09|-- -- -- --|-- -- b3 08|-- -- -- --|-- -- -- --|-- -- -- --|
      40:-- -- 67 09|-- -- -- --|-- -- d5 08|-- -- -- --|-- -- -- --|-- -- -- --|
      40:-- -- ab 09|-- -- -- --|-- -- fd 08|-- -- -- --|-- -- -- --|-- -- -- --|
      40:-- -- 93 09|-- -- -- --|-- -- ef 08|-- -- -- --|-- -- -- --|-- -- -- --|
      40:-- -- a6 0a|-- -- -- --|-- -- 93 09|-- -- -- --|-- -- -- --|-- -- -- --|
      40:-- -- 3a 0a|-- -- -- --|-- -- 52 09|-- -- -- --|-- -- -- --|-- -- -- --|
      40:-- -- df 09|-- -- -- --|-- -- 1c 09|-- -- -- --|-- -- -- --|-- -- -- --|
      40:-- -- 93 09|-- -- -- --|-- -- ef 08|-- -- -- --|-- -- -- --|-- -- -- --|
